Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
4,-4.43,-0.63,-10.16,18.49,1026.83
104,-4.28,0.16,-10.16,18.63,1026.91
204,-4.20,0.12,-10.12,18.64,1026.91
321,-3.96,-0.39,-10.04,18.67,1026.90
441,-4.20,0.51,-9.49,18.71,1026.90
559,-4.63,0.35,-8.87,18.73,1026.89
675,-4.04,0.82,-9.85,18.76,1026.89
793,-4.35,0.59,-10.12,18.78,1026.89
912,-3.18,-0.04,-10.43,18.80,1026.89
1032,-3.84,0.43,-9.73,18.82,1026.89
1150,-4.20,0.27,-10.63,18.84,1026.89
1269,-3.10,1.84,-10.28,18.85,1026.89
1389,-4.55,2.00,-10.08,18.87,1026.89
1509,-3.49,0.90,-9.81,18.87,1026.88
1628,-3.26,1.06,-10.43,18.88,1026.88
1747,-4.08,0.98,-11.06,18.89,1026.88
1866,-2.98,-0.35,-10.87,18.90,1026.88
1987,-3.22,1.14,-10.63,18.90,1026.89
2107,-2.04,0.90,-9.57,18.91,1026.89
2226,-2.55,0.86,-11.49,18.91,1026.89
2345,-1.57,1.26,-10.20,18.91,1026.89
2464,-1.49,1.06,-10.36,18.92,1026.89
2584,-3.73,2.16,-11.22,18.92,1026.89
2704,-2.00,1.02,-11.14,18.92,1026.89
2824,-1.84,1.37,-10.63,18.92,1026.89
2943,-2.47,0.51,-11.38,18.92,1026.89
3062,-1.65,1.14,-10.55,18.92,1026.89
3182,-2.16,0.78,-10.94,18.93,1026.90
3302,-2.31,0.86,-11.26,18.93,1026.89
3422,-1.80,1.29,-11.10,18.93,1026.89
3541,-2.31,1.14,-11.02,18.93,1026.89
3660,-2.16,0.98,-10.83,18.93,1026.89
3780,-2.00,0.94,-10.87,18.93,1026.88
3900,-2.08,0.71,-11.10,18.93,1026.89
4020,-2.20,0.86,-11.22,18.93,1026.89
4139,-1.73,1.22,-11.10,18.93,1026.88
4258,-1.80,0.67,-10.55,18.94,1026.89
4378,-1.80,0.51,-10.90,18.94,1026.88
4498,-1.84,0.43,-10.83,18.94,1026.88
4618,-1.96,0.78,-11.02,18.94,1026.89
4737,-1.84,0.71,-10.83,18.94,1026.89
4856,-2.47,1.45,-11.26,18.94,1026.89
4976,-2.35,1.10,-10.67,18.94,1026.89
5096,-2.94,0.00,-10.67,18.94,1026.90
5216,-2.47,0.20,-10.75,18.94,1026.90
5335,-2.67,-1.02,-11.18,18.95,1026.90
5456,-3.14,0.82,-11.22,18.95,1026.90
5575,-2.59,0.78,-10.40,18.95,1026.90
5695,-2.90,-0.35,-11.77,18.95,1026.90
5816,-2.71,-0.78,-11.38,18.96,1026.89
5936,-2.35,-0.71,-11.57,18.96,1026.89
6057,-1.37,-0.31,-11.77,18.96,1026.89
6177,-2.00,-0.08,-11.65,18.96,1026.89
6298,-2.04,0.08,-10.83,18.97,1026.89
6418,-2.24,0.75,-10.12,18.97,1026.89
6537,-2.94,-0.98,-12.04,18.98,1026.89
6658,-2.20,-0.16,-11.06,18.98,1026.89
6779,-1.41,0.63,-10.43,18.99,1026.90
6898,-2.16,0.94,-11.02,18.99,1026.90
7018,-2.20,0.39,-10.20,19.00,1026.89
7137,-2.12,1.22,-10.28,19.00,1026.89
7257,-1.92,-0.71,-11.30,19.01,1026.89
7378,-2.04,-0.20,-11.77,19.01,1026.90
7498,-1.77,0.78,-11.10,19.02,1026.90
7618,-2.31,1.57,-11.34,19.03,1026.90
7737,-2.55,1.77,-11.14,19.03,1026.89
7857,-1.37,1.80,-9.53,19.04,1026.90
7976,-2.16,1.22,-11.10,19.05,1026.89
8095,-2.24,0.86,-10.67,19.05,1026.89
8215,-2.75,0.43,-10.83,19.06,1026.89
8334,-2.04,2.00,-11.45,19.06,1026.88
8454,-3.73,0.39,-11.30,19.07,1026.88
8574,-2.16,0.31,-12.98,19.07,1026.88
8693,-3.41,-0.78,-10.75,19.08,1026.88
8814,-2.67,-0.24,-12.04,19.09,1026.89
8934,-3.06,0.04,-10.75,19.09,1026.88
9054,-2.55,0.75,-10.87,19.10,1026.89
9174,-2.75,1.26,-10.40,19.10,1026.88
9293,-2.75,0.59,-10.75,19.11,1026.88
9413,-2.59,0.51,-10.71,19.12,1026.89
9532,-2.51,-0.59,-10.87,19.12,1026.89
9653,-2.63,0.08,-10.59,19.12,1026.89
9773,-2.75,0.24,-11.06,19.13,1026.89
9893,-2.55,0.39,-10.51,19.14,1026.89
10012,-2.75,0.12,-10.63,19.14,1026.90
10132,-2.28,0.59,-10.83,19.15,1026.90
10253,-2.59,0.51,-10.00,19.15,1026.90
10374,-2.28,0.67,-10.94,19.16,1026.90
10495,-2.82,0.75,-10.90,19.16,1026.89
10615,-2.51,0.43,-11.10,19.16,1026.90
10735,-3.41,-0.39,-10.28,19.17,1026.90
10857,-2.67,0.67,-10.55,19.17,1026.91
10978,-2.39,0.55,-11.18,19.18,1026.91
11099,-2.47,0.27,-11.38,19.18,1026.91
11220,-2.47,0.43,-10.79,19.18,1026.90
11340,-2.71,0.47,-10.98,19.19,1026.90
11460,-2.86,0.08,-10.43,19.19,1026.90
11581,-2.82,0.24,-10.71,19.19,1026.90
11702,-2.82,0.63,-10.75,19.19,1026.90
11823,-2.55,0.59,-11.45,19.19,1026.89
11944,-2.82,0.35,-11.14,19.19,1026.89
12063,-0.67,3.10,-9.53,19.19,1026.89
12183,-3.02,0.94,-10.24,19.20,1026.89
12304,-3.77,1.26,-9.18,19.20,1026.89
12424,-2.00,0.59,-11.81,19.20,1026.89
12545,-2.75,0.16,-11.45,19.20,1026.89
12664,-2.79,0.39,-11.38,19.20,1026.89
12785,-2.55,0.90,-10.90,19.20,1026.89
12906,-2.51,0.78,-11.10,19.20,1026.89
13027,-2.71,0.35,-11.06,19.20,1026.89
13148,-2.55,0.82,-10.79,19.20,1026.89
13269,-2.71,0.94,-10.40,19.20,1026.89
13388,-2.71,0.86,-10.20,19.20,1026.89
13509,-2.75,0.94,-10.36,19.20,1026.89
13630,-2.75,0.31,-10.59,19.20,1026.89
13751,2.79,3.57,-6.47,19.20,1026.89
13870,-2.79,0.90,-11.38,19.20,1026.89
13990,-2.98,1.14,-10.47,19.20,1026.89
14110,-2.82,1.06,-9.96,19.20,1026.89
14230,-2.28,0.78,-11.69,19.20,1026.89
14351,-2.86,0.51,-11.38,19.20,1026.90
14472,-2.75,0.67,-11.69,19.20,1026.90
14592,-3.10,1.02,-10.28,19.20,1026.91
14712,-2.59,0.82,-10.79,19.20,1026.90
14833,-2.71,0.55,-10.40,19.19,1026.90
14954,-3.49,0.94,-9.89,19.20,1026.91
15074,-2.86,0.86,-9.77,19.20,1026.91
15193,-2.98,0.98,-10.63,19.19,1026.91
15314,-2.67,1.45,-10.40,19.19,1026.91
15434,-2.63,1.02,-11.89,19.19,1026.91
15555,-3.26,1.06,-9.81,19.19,1026.91
15675,-3.14,0.63,-11.18,19.19,1026.91
15795,-2.75,0.82,-10.40,19.19,1026.90
15916,-3.02,0.16,-11.57,19.19,1026.90
16037,-2.90,0.75,-10.71,19.19,1026.90
16157,-2.71,0.94,-11.49,19.18,1026.90
16278,-3.02,0.39,-11.22,19.18,1026.90
16399,-2.86,1.14,-10.47,19.18,1026.90
16519,-2.55,0.67,-11.10,19.18,1026.89
16640,-3.02,0.35,-11.57,19.18,1026.89
16760,-2.79,0.55,-10.87,19.18,1026.89
16881,-2.67,0.67,-11.14,19.18,1026.90
17002,-2.67,0.82,-11.77,19.18,1026.90
17122,-2.75,0.75,-10.55,19.18,1026.89
17243,-2.39,1.22,-11.38,19.17,1026.89
17364,-2.90,0.86,-10.20,19.17,1026.89
17484,-2.98,1.41,-8.59,19.17,1026.90
17604,-2.90,0.47,-11.22,19.17,1026.90
17724,-2.75,0.71,-10.04,19.17,1026.90
17845,-2.67,0.82,-10.55,19.17,1026.90
17966,-2.67,0.82,-10.63,19.17,1026.90
18087,-3.18,0.71,-10.00,19.17,1026.90
